"","rpoC","brnQ","ilvD"
"intercept",37.2491752805366,37.1576176090039,37.3241767537976
"log(conc, 10)",-3.24397889641886,-3.22066242604107,-3.24630067959888
"r^2",0.998658806592383,0.998403273089087,0.998953629269728
