"","ps","well","rep_group","Cq","Cq_mean","Cq_StDev","Cq_StErrMean","conc"
"1","rpoC","B1","B",30,30,0,0,182
"2","rpoC","B2","B",30,30,0,0,182
"3","rpoC","B3","B",30,30,0,0,182
"4","rpoC","C1","C",27,26.9180479308832,0.0634495932026149,0.00579212891026644,1820
"5","rpoC","C2","C",26.8462279835379,26.9180479308832,0.0634495932026149,0.00579212891026644,1820
"6","rpoC","C3","C",26.9079158091118,26.9180479308832,0.0634495932026149,0.00579212891026644,1820
"7","rpoC","D1","D",23.1899067846144,23.1762576715101,0.0552352538848014,0.0050422657537051,18200
"8","rpoC","D2","D",23.1031116288069,23.1762576715101,0.0552352538848014,0.0050422657537051,18200
"9","rpoC","D3","D",23.235754601109,23.1762576715101,0.0552352538848014,0.0050422657537051,18200
"10","rpoC","E1","E",19.8388868984708,20.0474516568309,0.193417146627285,0.0176564890360081,182000
"11","rpoC","E2","E",20.303468072022,20.0474516568309,0.193417146627285,0.0176564890360081,182000
"12","rpoC","E3","E",20,20.0474516568309,0.193417146627285,0.0176564890360081,182000
"13","rpoC","F1","F",17,16.9064188207094,0.132898675884841,0.0121319337741159,1820000
"14","rpoC","F2","F",16.7192564621282,16.9064188207094,0.132898675884841,0.0121319337741159,1820000
"15","rpoC","F3","F",17,16.9064188207094,0.132898675884841,0.0121319337741159,1820000
"16","rpoC","G1","G",13.5483371076782,13.4788549367427,0.367465031277716,0.033544814454191,18200000
"17","rpoC","G2","G",13.88822770255,13.4788549367427,0.367465031277716,0.033544814454191,18200000
"18","rpoC","G3","G",13,13.4788549367427,0.367465031277716,0.033544814454191,18200000
"19","rpoC","H1","H",11,10.931568862177,0.0688628843004558,0.00769910452112611,1.82e+08
"20","rpoC","H2","H",10.863137724354,10.931568862177,0.0688628843004558,0.00769910452112611,1.82e+08
"21","brnQ","B1","B",30,30,0,0,182
"22","brnQ","B2","B",30,30,0,0,182
"23","brnQ","B3","B",30,30,0,0,182
"24","brnQ","C1","C",27,26.9180479308832,0.0634495932026149,0.00579212891026644,1820
"25","brnQ","C2","C",26.8462279835379,26.9180479308832,0.0634495932026149,0.00579212891026644,1820
"26","brnQ","C3","C",26.9079158091118,26.9180479308832,0.0634495932026149,0.00579212891026644,1820
"27","brnQ","D1","D",23.1899067846144,23.1762576715101,0.0552352538848014,0.0050422657537051,18200
"28","brnQ","D2","D",23.1031116288069,23.1762576715101,0.0552352538848014,0.0050422657537051,18200
"29","brnQ","D3","D",23.235754601109,23.1762576715101,0.0552352538848014,0.0050422657537051,18200
"30","brnQ","E1","E",19.8388868984708,20.0474516568309,0.193417146627285,0.0176564890360081,182000
"31","brnQ","E2","E",20.303468072022,20.0474516568309,0.193417146627285,0.0176564890360081,182000
"32","brnQ","E3","E",20,20.0474516568309,0.193417146627285,0.0176564890360081,182000
"33","brnQ","F1","F",17,16.9064188207094,0.132898675884841,0.0121319337741159,1820000
"34","brnQ","F2","F",16.7192564621282,16.9064188207094,0.132898675884841,0.0121319337741159,1820000
"35","brnQ","F3","F",17,16.9064188207094,0.132898675884841,0.0121319337741159,1820000
"36","brnQ","G1","G",13.5483371076782,13.4788549367427,0.367465031277716,0.033544814454191,18200000
"37","brnQ","G2","G",13.88822770255,13.4788549367427,0.367465031277716,0.033544814454191,18200000
"38","brnQ","G3","G",13,13.4788549367427,0.367465031277716,0.033544814454191,18200000
"39","brnQ","H1","H",11,10.9898923033106,0.10004265302378,0.00913260296229781,1.82e+08
"40","brnQ","H2","H",10.863137724354,10.9898923033106,0.10004265302378,0.00913260296229781,1.82e+08
"41","brnQ","H3","H",11.1065391855779,10.9898923033106,0.10004265302378,0.00913260296229781,1.82e+08
"42","ilvD","B4","B",30.2082859225555,30.0593200905537,0.109940628822288,0.0100361603987116,182
"43","ilvD","B5","B",29.9482829450104,30.0593200905537,0.109940628822288,0.0100361603987116,182
"44","ilvD","B6","B",30.0213914040952,30.0593200905537,0.109940628822288,0.0100361603987116,182
"45","ilvD","C5","C",27.0663388564992,26.8991263863623,0.16826744886828,0.0188128727034972,1820
"46","ilvD","C6","C",26.7319139162254,26.8991263863623,0.16826744886828,0.0188128727034972,1820
"47","ilvD","D4","D",23.4497629568643,23.4494028824915,0.0174897523467881,0.00159658864758579,18200
"48","ilvD","D5","D",23.4278940789883,23.4494028824915,0.0174897523467881,0.00159658864758579,18200
"49","ilvD","D6","D",23.470551611622,23.4494028824915,0.0174897523467881,0.00159658864758579,18200
"50","ilvD","E4","E",20.1605274959008,20.2346769528912,0.0746172815491921,0.00834246569201172,182000
"51","ilvD","E6","E",20.3088264098816,20.2346769528912,0.0746172815491921,0.00834246569201172,182000
"52","ilvD","F4","F",16.6990222366711,16.7535109169681,0.0827797728743286,0.00755672481807067,1820000
"53","ilvD","F5","F",16.8700094886709,16.7535109169681,0.0827797728743286,0.00755672481807067,1820000
"54","ilvD","F6","F",16.6915010255623,16.7535109169681,0.0827797728743286,0.00755672481807067,1820000
"55","ilvD","G4","G",13.651339069827,13.5024839203468,0.13018306937422,0.0118840339502534,18200000
"56","ilvD","G5","G",13.3353675637177,13.5024839203468,0.13018306937422,0.0118840339502534,18200000
"57","ilvD","G6","G",13.5207451274955,13.5024839203468,0.13018306937422,0.0118840339502534,18200000
"58","ilvD","H4","H",10.8547670057089,10.8884345812776,0.196832784423024,0.0179682926808403,1.82e+08
"59","ilvD","H5","H",11.1435545394312,10.8884345812776,0.196832784423024,0.0179682926808403,1.82e+08
"60","ilvD","H6","H",10.6669821986926,10.8884345812776,0.196832784423024,0.0179682926808403,1.82e+08
