"","ps","well","rep_group","Cq","Cq_mean","Cq_StDev","Cq_StErrMean","conc"
"5","ilvD","D3","D",18.2732909415524,18.3215167295055,0.00460834347461076,0.00460834347461076,1e-04
"6","ilvD","E1","E",21.388707529908,21.5091400359225,0.0170858069254078,0.0170858069254078,0.001
"7","ilvD","E2","E",21.7724094472811,21.5091400359225,0.0170858069254078,0.0170858069254078,0.001
"8","ilvD","E3","E",21.3663031305783,21.5091400359225,0.0170858069254078,0.0170858069254078,0.001
"9","ilvD","F1","F",24.8285701864519,24.8473660872005,0.00469501391704994,0.00469501391704994,0.01
"10","ilvD","F2","F",24.7961856678757,24.8473660872005,0.00469501391704994,0.00469501391704994,0.01
"11","ilvD","F3","F",24.9173424072739,24.8473660872005,0.00469501391704994,0.00469501391704994,0.01
"12","ilvD","G1","G",28.1314743837216,28.1772852591252,0.00716369360198259,0.00716369360198259,0.1
"13","ilvD","G2","G",28.287290502201,28.1772852591252,0.00716369360198259,0.00716369360198259,0.1
"14","ilvD","G3","G",28.113090891453,28.1772852591252,0.00716369360198259,0.00716369360198259,0.1
"15","icaA","D5","D",20.1807604274722,20.3243340973,0.0161532998814816,0.0161532998814816,1e-04
"16","icaA","D6","D",20.4679077671278,20.3243340973,0.0161532998814816,0.0161532998814816,1e-04
"17","icaA","E4","E",22.8939698622065,22.3673773943125,0.0342380009242337,0.0342380009242337,0.001
"18","icaA","E5","E",22.1397216684832,22.3673773943125,0.0342380009242337,0.0342380009242337,0.001
"19","icaA","E6","E",22.0684406522479,22.3673773943125,0.0342380009242337,0.0342380009242337,0.001
"20","icaA","F4","F",24.8198223882849,24.9458919991775,0.0179068836375281,0.0179068836375281,0.01
"21","icaA","F5","F",25.2218047552764,24.9458919991775,0.0179068836375281,0.0179068836375281,0.01
"22","icaA","F6","F",24.7960488539711,24.9458919991775,0.0179068836375281,0.0179068836375281,0.01
"23","icaA","G4","G",28.7405768180861,28.3180105055837,0.0282393730483769,0.0282393730483769,0.1
"24","icaA","G5","G",28.1985166983775,28.3180105055837,0.0282393730483769,0.0282393730483769,0.1
"25","icaA","G6","G",28.0149380002874,28.3180105055837,0.0282393730483769,0.0282393730483769,0.1
"26","cap5A","A7","A",12.0786283934286,12.2543402293106,0.0197691260600349,0.0197691260600349,1e-07
"27","cap5A","A9","A",12.4300520651926,12.2543402293106,0.0197691260600349,0.0197691260600349,1e-07
"28","cap5A","B7","B",13.7519619139492,13.8210725177918,0.0121675012530927,0.0121675012530927,1e-06
"29","cap5A","B8","B",14.0067713832916,13.8210725177918,0.0121675012530927,0.0121675012530927,1e-06
"30","cap5A","B9","B",13.7044842561347,13.8210725177918,0.0121675012530927,0.0121675012530927,1e-06
"31","cap5A","C7","C",15.8152709032306,16.003039954311,0.0211256687538942,0.0211256687538942,1e-05
"32","cap5A","C9","C",16.1908090053914,16.003039954311,0.0211256687538942,0.0211256687538942,1e-05
"33","cap5A","D7","D",19.394460347258,19.288827539997,0.00796743135806113,0.00796743135806113,1e-04
"34","cap5A","D8","D",19.1815826895843,19.288827539997,0.00796743135806113,0.00796743135806113,1e-04
"35","cap5A","D9","D",19.2904395831487,19.288827539997,0.00796743135806113,0.00796743135806113,1e-04
"36","cap5A","E7","E",22.7768386221048,22.7544414622467,0.00592807259283492,0.00592807259283492,0.001
"37","cap5A","E8","E",22.6664533622281,22.7544414622467,0.00592807259283492,0.00592807259283492,0.001
"38","cap5A","E9","E",22.8200324024072,22.7544414622467,0.00592807259283492,0.00592807259283492,0.001
"39","cap5A","F7","F",26.3124086950952,26.2794664762945,0.0021374174800258,0.0021374174800258,0.01
"40","cap5A","F8","F",26.261732646718,26.2794664762945,0.0021374174800258,0.0021374174800258,0.01
"41","cap5A","F9","F",26.2642580870703,26.2794664762945,0.0021374174800258,0.0021374174800258,0.01
"42","cap5A","G7","G",29.7635935737282,29.7030434246432,0.00663085707478205,0.00663085707478205,0.1
"43","cap5A","G8","G",29.6013639035701,29.7030434246432,0.00663085707478205,0.00663085707478205,0.1
"44","cap5A","G9","G",29.7441727966312,29.7030434246432,0.00663085707478205,0.00663085707478205,0.1
"45","brnQ","A10","A",11.666524511046,11.6065969196309,0.00661042747716258,0.00661042747716258,1e-07
"46","brnQ","A11","A",11.5051729149201,11.6065969196309,0.00661042747716258,0.00661042747716258,1e-07
"47","brnQ","A12","A",11.6480933329265,11.6065969196309,0.00661042747716258,0.00661042747716258,1e-07
"48","brnQ","B10","B",13.0178417289858,13.0359434562983,0.00394084962450154,0.00394084962450154,1e-06
