"","rpoC","polC","srn1020","rsaD"
"intercept",37.3988423493877,37.2602394502147,36.3505698057547,37.2569669330607
"log(conc, 10)",-3.28503612484017,-3.33770175266066,-3.13141033414925,-3.27186373295245
"r^2",0.998687451549657,0.994899547947088,0.995315534813839,0.999171856881373
