"","ilvD","icaA","cap5A","brnQ"
"intercept",3.551215499686,5.03266912294252,6.44096552613397,6.04389016947622
"log(conc, 10)",3.46364680490017,3.32249849953266,3.21504606720963,3.16138608989978
"r^2",0.992994679056874,0.96345375809275,0.986746059375468,0.985397489138787
