"","ps","well","rep_group","Cq","Cq_mean","Cq_StDev","Cq_StErrMean","conc","logConc"
"1","ilvD","C2","C",15.9280355418962,15.4480348773143,0.0540042940157555,0.0540042940157555,1820,7.50659178007084
"2","ilvD","C3","C",14.9680342127324,15.4480348773143,0.0540042940157555,0.0540042940157555,1820,7.50659178007084
"3","ilvD","D1","D",18.3908676507628,18.3215167295055,0.00460834347461076,0.00460834347461076,18200,9.80917687306489
"4","ilvD","D2","D",18.3003915962013,18.3215167295055,0.00460834347461076,0.00460834347461076,18200,9.80917687306489
"5","ilvD","D3","D",18.2732909415524,18.3215167295055,0.00460834347461076,0.00460834347461076,18200,9.80917687306489
"6","ilvD","E1","E",21.388707529908,21.5091400359225,0.0170858069254078,0.0170858069254078,182000,12.1117619660589
"7","ilvD","E2","E",21.7724094472811,21.5091400359225,0.0170858069254078,0.0170858069254078,182000,12.1117619660589
"8","ilvD","E3","E",21.3663031305783,21.5091400359225,0.0170858069254078,0.0170858069254078,182000,12.1117619660589
"9","ilvD","F1","F",24.8285701864519,24.8473660872005,0.00469501391704994,0.00469501391704994,1820000,14.414347059053
"10","ilvD","F2","F",24.7961856678757,24.8473660872005,0.00469501391704994,0.00469501391704994,1820000,14.414347059053
"11","ilvD","F3","F",24.9173424072739,24.8473660872005,0.00469501391704994,0.00469501391704994,1820000,14.414347059053
"12","ilvD","G1","G",28.1314743837216,28.1772852591252,0.00716369360198259,0.00716369360198259,18200000,16.716932152047
"13","ilvD","G2","G",28.287290502201,28.1772852591252,0.00716369360198259,0.00716369360198259,18200000,16.716932152047
"14","ilvD","G3","G",28.113090891453,28.1772852591252,0.00716369360198259,0.00716369360198259,18200000,16.716932152047
"15","icaA","D5","D",20.1807604274722,20.3243340973,0.0161532998814816,0.0161532998814816,18200,9.80917687306489
"16","icaA","D6","D",20.4679077671278,20.3243340973,0.0161532998814816,0.0161532998814816,18200,9.80917687306489
"17","icaA","E4","E",22.8939698622065,22.3673773943125,0.0342380009242337,0.0342380009242337,182000,12.1117619660589
"18","icaA","E5","E",22.1397216684832,22.3673773943125,0.0342380009242337,0.0342380009242337,182000,12.1117619660589
"19","icaA","E6","E",22.0684406522479,22.3673773943125,0.0342380009242337,0.0342380009242337,182000,12.1117619660589
"20","icaA","F4","F",24.8198223882849,24.9458919991775,0.0179068836375281,0.0179068836375281,1820000,14.414347059053
"21","icaA","F5","F",25.2218047552764,24.9458919991775,0.0179068836375281,0.0179068836375281,1820000,14.414347059053
"22","icaA","F6","F",24.7960488539711,24.9458919991775,0.0179068836375281,0.0179068836375281,1820000,14.414347059053
"23","icaA","G4","G",28.7405768180861,28.3180105055837,0.0282393730483769,0.0282393730483769,18200000,16.716932152047
"24","icaA","G5","G",28.1985166983775,28.3180105055837,0.0282393730483769,0.0282393730483769,18200000,16.716932152047
"25","icaA","G6","G",28.0149380002874,28.3180105055837,0.0282393730483769,0.0282393730483769,18200000,16.716932152047
"26","cap5A","A7","A",12.0786283934286,12.2543402293106,0.0197691260600349,0.0197691260600349,18.2,2.90142159408275
"27","cap5A","A9","A",12.4300520651926,12.2543402293106,0.0197691260600349,0.0197691260600349,18.2,2.90142159408275
"28","cap5A","B7","B",13.7519619139492,13.8210725177918,0.0121675012530927,0.0121675012530927,182,5.2040066870768
"29","cap5A","B8","B",14.0067713832916,13.8210725177918,0.0121675012530927,0.0121675012530927,182,5.2040066870768
"30","cap5A","B9","B",13.7044842561347,13.8210725177918,0.0121675012530927,0.0121675012530927,182,5.2040066870768
"31","cap5A","C7","C",15.8152709032306,16.003039954311,0.0211256687538942,0.0211256687538942,1820,7.50659178007084
"32","cap5A","C9","C",16.1908090053914,16.003039954311,0.0211256687538942,0.0211256687538942,1820,7.50659178007084
