"","ilvD","icaA","cap5A","brnQ"
"intercept",30.8314117750756,30.5056349596714,32.4372776958955,31.7019851643015
"log(conc, 10)",-2.41541085555247,-1.8964334066281,-2.57834075171739,-2.57204158107136
"r^2",0.594344680299651,0.321736510770394,0.796930352636183,0.821132867327262
