"","ps","well","rep_group","Cq","Cq_mean","Cq_StDev","Cq_StErrMean","conc"
"1","rpoC","B1","B",30.1682428984766,30.0774625986282,0.113460117743616,0.0103574443108951,182
"2","rpoC","B2","B",30.1459499502931,30.0774625986282,0.113460117743616,0.0103574443108951,182
"3","rpoC","B3","B",29.9181949471148,30.0774625986282,0.113460117743616,0.0103574443108951,182
"4","rpoC","C1","C",26.6981035874792,26.7049579890949,0.0579395924933616,0.00528913696354519,1820
"5","rpoC","C2","C",26.7788003515981,26.7049579890949,0.0579395924933616,0.00528913696354519,1820
"6","rpoC","C3","C",26.6379700282074,26.7049579890949,0.0579395924933616,0.00528913696354519,1820
"7","rpoC","D1","D",23.281799682399,23.3065600772607,0.0340834408615781,0.00311137823287994,18200
"8","rpoC","D2","D",23.2833285837123,23.3065600772607,0.0340834408615781,0.00311137823287994,18200
"9","rpoC","D3","D",23.3545519656709,23.3065600772607,0.0340834408615781,0.00311137823287994,18200
"10","rpoC","E1","E",20.1364125433903,20.2341302717461,0.13601799122514,0.0124166870034249,182000
"11","rpoC","E2","E",20.4256724002016,20.2341302717461,0.13601799122514,0.0124166870034249,182000
"12","rpoC","E3","E",20.1403058716465,20.2341302717461,0.13601799122514,0.0124166870034249,182000
"13","rpoC","F1","F",16.6650950502943,16.6728848953373,0.0397686573359041,0.00363036511742799,1820000
"14","rpoC","F2","F",16.6287481765296,16.6728848953373,0.0397686573359041,0.00363036511742799,1820000
"15","rpoC","F3","F",16.724811459188,16.6728848953373,0.0397686573359041,0.00363036511742799,1820000
"16","rpoC","G1","G",13.4651736337975,13.2227192763155,0.176727640956339,0.0161329525810768,18200000
"17","rpoC","G2","G",13.1501798145266,13.2227192763155,0.176727640956339,0.0161329525810768,18200000
"18","rpoC","G3","G",13.0528043806224,13.2227192763155,0.176727640956339,0.0161329525810768,18200000
"19","rpoC","H1","H",11.0985570466534,10.7926597308719,0.307827286446232,0.0344161368911537,1.82e+08
"20","rpoC","H2","H",10.4867624150904,10.7926597308719,0.307827286446232,0.0344161368911537,1.82e+08
"21","polC","B4","B",29.5737282267088,29.9917576730834,0.377297477704379,0.0344423899047485,182
"22","polC","B5","B",30.4848308394869,29.9917576730834,0.377297477704379,0.0344423899047485,182
